Sampling Type,Coreset Size,Average Cost,Reduction in Data Size,Error,Avg Rand Index,Data,Optimal Cost,Avg Time,Clustering Algorithm
Statistical Leverage Sampling (Weighted),500,1102387.741023624,95.0,10.723097718846727,1.0,Synthetic,995625.8122608336,0.3404778003692627,KMeans++
Statistical Leverage Sampling (Weighted),1000,1042889.3970354628,90.0,4.747123285936588,1.0,Synthetic,995625.8122608336,0.6134908199310303,KMeans++
Statistical Leverage Sampling (Weighted),1500,1024399.226443722,85.0,2.889982745380114,1.0,Synthetic,995625.8122608336,0.7077852249145508,KMeans++
Statistical Leverage Sampling (Weighted),3500,1005160.6210684438,65.0,0.957669908733983,1.0,Synthetic,995625.8122608336,0.7284199714660644,KMeans++
Statistical Leverage Sampling (Weighted),5000,1000707.9876329068,50.0,0.5104503428384283,1.0,Synthetic,995625.8122608336,0.925494146347046,KMeans++
Statistical Leverage Sampling (Weighted),7000,997798.9403612677,30.0,0.2182675532989181,1.0,Synthetic,995625.8122608336,1.0044425964355468,KMeans++
Statistical Leverage Sampling (Weighted),10000,995625.8122608332,0.0,1.1692678152104436e-14,1.0,Synthetic,995625.8122608336,1.7154818058013916,KMeans++
Statistical Leverage Sampling (Weighted),10,2015902344.4,97.5,80.90596496926152,0.8076917293233083,Face,1114337133.5171454,0.3238739967346191,KMeans++
Statistical Leverage Sampling (Weighted),20,1602933660.2133896,95.0,43.846382930281,0.808268170426065,Face,1114337133.5171454,0.3013956069946289,KMeans++
Statistical Leverage Sampling (Weighted),50,1342239437.3126624,87.5,20.45182709439077,0.8390175438596492,Face,1114337133.5171454,0.286834192276001,KMeans++
Statistical Leverage Sampling (Weighted),70,1264715928.4823694,82.5,13.49491015260242,0.8597142857142858,Face,1114337133.5171454,0.4356977462768555,KMeans++
Statistical Leverage Sampling (Weighted),100,1225095804.7911804,75.0,9.939422096116552,0.8569573934837094,Face,1114337133.5171454,0.4120604038238525,KMeans++
Statistical Leverage Sampling (Weighted),10,2015902344.4,97.5,80.90596496926152,0.8076917293233083,Face,1114337133.5171454,0.3238739967346191,KMeans++
Statistical Leverage Sampling (Weighted),20,1602933660.2133896,95.0,43.846382930281,0.808268170426065,Face,1114337133.5171454,0.3013956069946289,KMeans++
Statistical Leverage Sampling (Weighted),50,1342239437.3126624,87.5,20.45182709439077,0.8390175438596492,Face,1114337133.5171454,0.286834192276001,KMeans++
Statistical Leverage Sampling (Weighted),70,1264715928.4823694,82.5,13.49491015260242,0.8597142857142858,Face,1114337133.5171454,0.4356977462768555,KMeans++
Statistical Leverage Sampling (Weighted),100,1225095804.7911804,75.0,9.939422096116552,0.8569573934837094,Face,1114337133.5171454,0.4120604038238525,KMeans++
Statistical Leverage Sampling (Weighted),100,56748610.018091366,99.0,33.39781759770422,0.9315152755275526,KDD,85205331.07355839,0.5533693790435791,KMedoids
Statistical Leverage Sampling (Weighted),500,69316945.10763472,95.0,18.6471735579633,0.938728596859686,KDD,85205331.07355839,0.866803789138794,KMedoids
Statistical Leverage Sampling (Weighted),1000,66562799.382220745,90.0,21.87953671025984,0.9412722432243223,KDD,85205331.07355839,1.3194740295410157,KMedoids
Statistical Leverage Sampling (Weighted),1500,92129136.20499156,85.0,8.126023388672461,0.9594557095709572,KDD,85205331.07355839,1.6750006198883056,KMedoids
Statistical Leverage Sampling (Weighted),3500,73683587.45777008,65.0,13.522327148569502,0.9539494589458948,KDD,85205331.07355839,3.5125996112823485,KMedoids
Statistical Leverage Sampling (Weighted),5000,93300060.91047384,50.0,9.500262172477475,0.9524333473347336,KDD,85205331.07355839,4.872869777679443,KMedoids
Statistical Leverage Sampling (Weighted),7000,80558249.1496551,30.0,5.453980244371596,0.9739345134513452,KDD,85205331.07355839,6.452917432785034,KMedoids
Statistical Leverage Sampling (Weighted),10000,97754872.460034,0.0,14.728587082939107,0.9601383578357836,KDD,85205331.07355839,9.12853422164917,KMedoids
Statistical Leverage Sampling (Weighted),100,59692234.7805552,99.0,37.509389620674376,0.9165697129712972,Synthetic,95521926.28335053,0.548857593536377,KMedoids
Statistical Leverage Sampling (Weighted),500,54544813.39998107,95.0,42.89812242878917,0.9215639683968396,Synthetic,95521926.28335053,0.9248544216156006,KMedoids
Statistical Leverage Sampling (Weighted),1000,68587118.53382234,90.0,28.19751317580256,0.940814801480148,Synthetic,95521926.28335053,1.6689078330993652,KMedoids
Statistical Leverage Sampling (Weighted),1500,78051938.544386,85.0,18.28898182721168,0.9542155895589556,Synthetic,95521926.28335053,2.475626564025879,KMedoids
Statistical Leverage Sampling (Weighted),3500,85865158.35032721,65.0,10.10947780133542,0.9603712811281128,Synthetic,95521926.28335053,4.648172807693482,KMedoids
Statistical Leverage Sampling (Weighted),5000,81265083.31756346,50.0,14.925204631548583,0.938752707270727,Synthetic,95521926.28335053,6.8089799880981445,KMedoids
Statistical Leverage Sampling (Weighted),7000,85395943.3308191,30.0,10.600689649509688,0.9734220942094208,Synthetic,95521926.28335053,10.183051586151125,KMedoids
Statistical Leverage Sampling (Weighted),10000,97100976.68260512,0.0,1.6530763780564943,0.9603882788278828,Synthetic,95521926.28335053,14.069887256622314,KMedoids
Statistical Leverage Sampling (Weighted),10,43224477.46666667,97.5,32.01543069537164,0.6421629072681704,Face,32741988.75009396,0.534778356552124,KMedoids
Statistical Leverage Sampling (Weighted),20,39021666.44079365,95.0,19.17927997175085,0.7753784461152883,Face,32741988.75009396,1.1163390636444093,KMedoids
Statistical Leverage Sampling (Weighted),50,37174161.45270617,87.5,13.536663079451747,0.7984912280701755,Face,32741988.75009396,1.990077829360962,KMedoids
Statistical Leverage Sampling (Weighted),70,35586808.71481957,82.5,8.688598565099227,0.8378120300751879,Face,32741988.75009396,1.4637415885925291,KMedoids
Statistical Leverage Sampling (Weighted),100,34653943.537554204,75.0,5.839458323846496,0.8287694235588973,Face,32741988.75009396,1.584547996520996,KMedoids
Statistical Leverage Sampling (Weighted),100,69342134281.42513,99.0,239.64786992277774,0.9778230023002299,KDD,20415889638.05094,0.11842455863952636,KMeans++
Statistical Leverage Sampling (Weighted),500,50375966559.71203,95.0,146.7488189484615,0.9829483948394839,KDD,20415889638.05094,0.15385241508483888,KMeans++
Statistical Leverage Sampling (Weighted),1000,49142097926.63805,90.0,140.70515073243476,0.9831135713571356,KDD,20415889638.05094,0.19241342544555665,KMeans++
Statistical Leverage Sampling (Weighted),1500,34319510766.589916,85.0,68.10196065434022,0.9843006380638062,KDD,20415889638.05094,0.2330336093902588,KMeans++
Statistical Leverage Sampling (Weighted),3500,27485135116.32301,65.0,34.62619363447418,0.9855313331333132,KDD,20415889638.05094,0.5639334201812745,KMeans++
Statistical Leverage Sampling (Weighted),5000,26203524944.842667,50.0,28.348680412166733,0.9870019041904191,KDD,20415889638.05094,0.5317571640014649,KMeans++
Statistical Leverage Sampling (Weighted),7000,25934888565.500378,30.0,27.032860312700645,0.9878903970397038,KDD,20415889638.05094,0.720273208618164,KMeans++
Statistical Leverage Sampling (Weighted),10000,20364828454.414967,0.0,0.2501051119555796,0.9895150395039505,KDD,20415889638.05094,0.9081630229949951,KMeans++
